Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
dabfdec7-929a-3269-fd84-ab7e6ecaa245,1999-08-16,,999-80-4324,S99910072,X16635028X,Mr.,Adolph80,Bartoletti50,,,,white,nonhispanic,M,Wrentham  Massachusetts  US,354 Tillman Orchard Unit 9,Holyoke,Massachusetts,Hampden County,25013,01040,42.163180975257255,-72.61261755680171,44040.18,0.00,44410
6252ef78-e442-3081-f63b-36435c505a7f,1991-06-21,,999-69-1046,S99953232,X59918243X,Mr.,Carter549,Haag279,,,M,white,nonhispanic,M,Uxbridge  Massachusetts  US,331 Hahn Ville Suite 17,Lawrence,Massachusetts,Essex County,25009,01843,42.67371287855897,-71.14019895885005,94782.03,644290.76,29443
a71c549b-c5fe-80b5-a1e8-4741bd43aeb9,2004-04-26,,999-19-6327,S99972890,,Ms.,Dottie687,Cummerata161,,,,white,nonhispanic,F,Winchendon  Massachusetts  US,561 Fahey Viaduct,Worcester,Massachusetts,Worcester County,25027,01608,42.281503996524926,-71.74693808504465,3057.41,32382.09,9433
6b7b3fc8-b581-0e0c-59f4-ffcd6337d687,1985-04-06,,999-84-5683,S99921387,X53112964X,Mr.,Mitchell808,Runolfsdottir785,,,D,white,nonhispanic,M,Salem  Massachusetts  US,699 Boehm Park,Milton,Massachusetts,Norfolk County,25021,02186,42.23130849569614,-71.0454023166622,45029.65,10321.29,58620
a793a189-7e7f-48b6-ea63-43036cef8d3d,1997-04-28,,999-96-4656,S99911721,X68153697X,Mr.,Aubrey96,Kunde533,,,,white,nonhispanic,M,Amherst  Massachusetts  US,104 Bergstrom Corner,Lunenburg,Massachusetts,Worcester County,25027,01462,42.580801329983885,-71.7522172625248,44351.16,12716.04,48054
78a7ab19-bdd0-2238-e4e5-de757ee074d1,2001-06-01,,999-92-6054,S99973529,X61520123X,Mr.,Bryant814,Corwin846,,,,white,nonhispanic,M,Blackstone  Massachusetts  US,932 Boyer Wall Unit 71,Canton,Massachusetts,Norfolk County,,00000,42.18254368580204,-71.07680132725513,28218.94,14209.48,120596
f86ceb29-43dd-03c5-8857-0f147d160b79,1953-08-05,,999-29-9997,S99944059,X62934240X,Mr.,Antione404,Gerhold939,,,M,black,nonhispanic,M,Worcester  Massachusetts  US,747 Pfeffer Station,Boston,Massachusetts,Suffolk County,25025,02130,42.338525111194244,-71.01640249761408,111721.76,77013.16,55822
c2b02098-d9bf-0710-1768-b233f881db0a,1974-02-10,,999-41-3922,S99993465,X24262347X,Mrs.,Cyndy549,Rosenbaum794,,Gusikowski974,M,white,nonhispanic,F,Boston  Massachusetts  US,224 Heaney Underpass,Wareham,Massachusetts,Plymouth County,,00000,41.794374593877734,-70.75102035705966,234686.90,1204154.50,190819
5f8a80bc-c38c-4e5e-b8c2-08a39b3b330c,1969-12-15,,999-68-8341,S99921910,X6700252X,Mr.,Kurt412,Strosin214,,,M,asian,nonhispanic,M,Chester  Massachusetts  US,931 Ortiz Ranch,Newburyport,Massachusetts,Essex County,25009,01950,42.74612945162747,-70.89637473728821,60611.73,1481.24,86291
d146d332-a0a7-7923-f043-3a5461d8e77d,1984-04-14,,999-35-6701,S99927476,X5192076X,Mrs.,Bernetta267,Kassulke119,,O'Kon634,M,white,nonhispanic,F,Holyoke  Massachusetts  US,509 Hamill Byway Unit 98,Walpole,Massachusetts,Norfolk County,25021,02081,42.12498964731864,-71.24960784354776,160675.11,595578.98,775668
